Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,09-06-2007,H,FC Barcelona,RCD Espanyol Barcelona,LOST,RW,57,1,Right-footed shot,Deco
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,09-06-2007,H,FC Barcelona,RCD Espanyol Barcelona,LOST,RW,43,0,,Gianluca Zambrotta
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,17-06-2007,A,FC Barcelona,Gimnastic de Tarragona,LOST,RW,51,1,Left-footed shot,Deco
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,17-06-2007,A,FC Barcelona,Gimnastic de Tarragona,LOST,RW,34,1,Left-footed shot,Deco
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,19-09-2007,A,Manchester United,Sporting CP,LOST,RW,62,1,Header,Wes Brown
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,19-09-2007,H,FC Barcelona,Olympique Lyon,WON,RW,82,1,Left-footed shot,Andres Iniesta
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,22-09-2007,H,FC Barcelona,Sevilla FC,WON,RW,72,1,Left-footed shot,Thierry Henry
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,22-09-2007,H,FC Barcelona,Sevilla FC,WON,RW,79,1,Penalty,
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,26-09-2007,H,FC Barcelona,Real Zaragoza,WON,RW,10,1,Left-footed shot,Deco
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,26-09-2007,H,FC Barcelona,Real Zaragoza,WON,RW,5,1,Left-footed shot,Thierry Henry
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,29-09-2007,A,Manchester United,Birmingham City,LOST,RW,51,0,,
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,29-09-2007,A,FC Barcelona,Levante UD,LOST,RW,50,1,Left-footed shot,Deco
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,02-10-2007,A,FC Barcelona,VfB Stuttgart,LOST,RW,66,1,Deflected shot on goal,Thierry Henry
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,06-10-2007,H,Manchester United,Wigan Athletic,WON,RW,76,1,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,06-10-2007,H,Manchester United,Wigan Athletic,WON,RW,59,1,Header,Ryan Giggs
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,07-10-2007,H,FC Barcelona,Atletico de Madrid,WON,RW,19,1,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,23-10-2007,A,Manchester United,Dynamo Kyiv,LOST,RW,41,1,Penalty,
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,23-10-2007,A,Manchester United,Dynamo Kyiv,LOST,RW,68,1,Header,Ryan Giggs
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,28-10-2007,H,FC Barcelona,UD Almera,WON,RW,80,1,Penalty,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,03-11-2007,A,Manchester United,Arsenal FC,LOST,RW,82,0,,Patrice Evra
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,07-11-2007,H,FC Barcelona,Rangers FC,WON,RW,41,1,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,07-11-2007,H,Manchester United,Dynamo Kyiv,WON,RW,88,1,Right-footed shot,Patrice Evra
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,11-11-2007,H,Manchester United,Blackburn Rovers,WON,RW,34,1,Header,Ryan Giggs
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,11-11-2007,H,Manchester United,Blackburn Rovers,WON,RW,35,1,Right-footed shot,Carlos Tevez
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,24-11-2007,H,FC Barcelona,Recreativo Huelva,WON,RW,81,1,Penalty,
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,27-11-2007,A,FC Barcelona,Olympique Lyon,LOST,RW,58,1,Penalty,
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,27-11-2007,H,Manchester United,Sporting CP,WON,RW,93,1,Direct free kick,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,03-12-2007,H,Manchester United,Fulham FC,WON,,58,1,Header,John OShea
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,03-12-2007,H,Manchester United,Fulham FC,WON,,10,1,Right-footed shot,Nemanja Vidicâ€Ž
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,08-12-2007,H,Manchester United,Derby County,WON,,90,1,Penalty,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,23-12-2007,H,Manchester United,Everton FC,WON,RW,87,1,Penalty,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,23-12-2007,H,Manchester United,Everton FC,WON,RW,22,1,Left-footed shot,Carlos Tevez
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,26-12-2007,A,Manchester United,Sunderland AFC,LOST,,45,1,Direct free kick,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,29-12-2007,A,Manchester United,West Ham United,WON,RW,14,1,Header,Ryan Giggs
Cristiano Ronaldo,07-Aug,England,FA Cup,Group Stage,05-01-2008,A,Manchester United,Aston Villa,LOST,,81,1,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,12-01-2008,H,Manchester United,Newcastle United,WON,RW,48,1,Direct free kick,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,12-01-2008,H,Manchester United,Newcastle United,WON,RW,70,1,Right-footed shot,Carlos Tevez
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,12-01-2008,H,Manchester United,Newcastle United,WON,RW,88,1,Left-footed shot,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,19-01-2008,A,Manchester United,Reading FC,LOST,RW,92,1,Right-footed shot,
Cristiano Ronaldo,07-Aug,England,FA Cup,Group Stage,27-01-2008,H,Manchester United,Tottenham Hotspur,WON,RW,69,1,Penalty,
Cristiano Ronaldo,07-Aug,England,FA Cup,Group Stage,27-01-2008,H,Manchester United,Tottenham Hotspur,WON,RW,88,1,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,30-01-2008,H,Manchester United,Portsmouth FC,WON,RW,10,1,Right-footed shot,Nani
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,30-01-2008,H,Manchester United,Portsmouth FC,WON,RW,12,1,Direct free kick,
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,20-02-2008,A,FC Barcelona,Celtic FC,LOST,RW,18,1,Left-footed shot,Deco
Lionel Messi,07-Aug,Spain,UEFA Champions League,Group Stage,20-02-2008,A,FC Barcelona,Celtic FC,LOST,RW,79,1,Left-footed shot,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,23-02-2008,A,Manchester United,Newcastle United,LOST,RW,56,1,Right-footed shot,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,23-02-2008,A,Manchester United,Newcastle United,LOST,RW,45,1,Right-footed shot,Michael Carrick
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,24-02-2008,H,FC Barcelona,Levante UD,WON,RW,44,1,Left-footed shot,Xavi
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Group Stage,04-03-2008,H,Manchester United,Olympique Lyon,WON,RW,41,1,Left-footed shot,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,15-03-2008,A,Manchester United,Derby County,LOST,,76,1,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,19-03-2008,H,Manchester United,Bolton Wanderers,WON,,8,1,Right-footed shot,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,19-03-2008,H,Manchester United,Bolton Wanderers,WON,,19,1,Direct free kick,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,23-03-2008,H,Manchester United,Liverpool FC,WON,RW,79,1,Header,Nani
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,29-03-2008,H,Manchester United,Aston Villa,WON,RW,16,1,Right-footed shot,
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Quarter-Finals,01-04-2008,A,Manchester United,AS Roma,LOST,RW,39,1,Header,Paul Scholes
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,06-04-2008,A,Manchester United,Middlesbrough FC,LOST,RW,9,1,Left-footed shot,Michael Carrick
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,13-04-2008,H,Manchester United,Arsenal FC,WON,RW,53,1,Penalty,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,03-05-2008,H,Manchester United,West Ham United,WON,RW,3,1,Right-footed shot,Edwin van der Sar
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,03-05-2008,H,Manchester United,West Ham United,WON,RW,24,1,Right-footed shot,Owen Hargreaves
Lionel Messi,07-Aug,Spain,LaLiga,Group Stage,04-05-2008,H,FC Barcelona,Valencia CF,WON,RW,5,1,Penalty,
Cristiano Ronaldo,07-Aug,England,Premier League,Group Stage,11-05-2008,A,Manchester United,Wigan Athletic,LOST,RW,32,1,Penalty,
Cristiano Ronaldo,07-Aug,Spain,UEFA Champions League,Final,21-05-2008,H,Manchester United,Chelsea FC,LOST,LW,26,1,Header,Wes Brown
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,13-09-2008,H,FC Barcelona,Racing Santander,LOST,RW,70,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,21-09-2008,A,FC Barcelona,Sporting GijÃ³n,LOST,RW,85,1,Left-footed shot,Andres Iniesta
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,21-09-2008,A,FC Barcelona,Sporting GijÃ³n,LOST,RW,89,1,Header,Xavi
Cristiano Ronaldo,08-Sep,England,EFL Cup,Group Stage,23-09-2008,H,Manchester United,Middlesbrough FC,WON,,25,1,Header,Ryan Giggs
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,27-09-2008,H,Manchester United,Bolton Wanderers,WON,RW,59,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,27-09-2008,A,FC Barcelona,RCD Espanyol Barcelona,LOST,RW,90,1,Penalty,
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,01-10-2008,A,FC Barcelona,Shakhtar Donetsk,LOST,RW,92,1,Left-footed shot,Xavi
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,01-10-2008,A,FC Barcelona,Shakhtar Donetsk,LOST,RW,87,1,Right-footed shot,Bojan Krkic
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,04-10-2008,H,FC Barcelona,Atletico de Madrid,WON,RW,8,1,Direct free kick,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,18-10-2008,H,Manchester United,West Bromwich Albion,WON,RW,69,1,Left-footed shot,Wayne Rooney
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,22-10-2008,A,FC Barcelona,FC Basel 1893,LOST,CF,4,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,29-10-2008,H,Manchester United,West Ham United,WON,RW,30,1,Right-footed shot,Dimitar Berbatov
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,29-10-2008,H,Manchester United,West Ham United,WON,RW,14,1,Left-footed shot,Nani
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,01-11-2008,A,FC Barcelona,Malaga CF,LOST,RW,19,1,Left-footed shot,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,01-11-2008,H,Manchester United,Hull City,WON,RW,43,1,Header,Nani
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,01-11-2008,H,Manchester United,Hull City,WON,RW,3,1,Left-footed shot,Dimitar Berbatov
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,04-11-2008,H,FC Barcelona,FC Basel 1893,LOST,RW,61,1,Left-footed shot,Thierry Henry
Lionel Messi,08-Sep,Spain,Copa del Rey,Group Stage,12-11-2008,H,FC Barcelona,Benidorm CD,WON,RW,86,1,Penalty rebound,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,15-11-2008,H,Manchester United,Stoke City,WON,RW,88,1,Direct free kick,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,15-11-2008,H,Manchester United,Stoke City,WON,RW,3,1,Direct free kick,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,16-11-2008,A,FC Barcelona,Recreativo Huelva,LOST,RW,51,1,Left-footed shot,Xavi
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,26-11-2008,A,FC Barcelona,Sporting CP,LOST,RW,49,1,Left-footed shot,Dani Alves
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,29-11-2008,A,FC Barcelona,Sevilla FC,LOST,RW,78,1,Left-footed shot,Xavi
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,29-11-2008,A,FC Barcelona,Sevilla FC,LOST,RW,92,1,Left-footed shot,Aleksandr Hleb
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,13-12-2008,H,FC Barcelona,Real Madrid,WON,RW,89,1,Counter attack goal,Thierry Henry
Cristiano Ronaldo,08-Sep,Italy,FIFA Club World Cup,Semi-Finals,18-12-2008,A,Manchester United,Gamba Osaka,LOST,LW,46,1,Header,Ryan Giggs
Lionel Messi,08-Sep,Spain,Copa del Rey,Group Stage,06-01-2009,A,FC Barcelona,Atletico de Madrid,LOST,RW,57,1,Penalty,
Lionel Messi,08-Sep,Spain,Copa del Rey,Group Stage,06-01-2009,A,FC Barcelona,Atletico de Madrid,LOST,RW,79,1,Right-footed shot,Andres Iniesta
Lionel Messi,08-Sep,Spain,Copa del Rey,Group Stage,06-01-2009,A,FC Barcelona,Atletico de Madrid,LOST,RW,11,1,Left-footed shot,Dani Alves
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,11-01-2009,A,FC Barcelona,CA Osasuna,LOST,RW,84,1,Left-footed shot,Dani Alves
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,17-01-2009,H,FC Barcelona,Deportivo de La Coruaa,WON,RW,21,1,Left-footed shot,
Cristiano Ronaldo,08-Sep,England,EFL Cup,Semi-Finals,20-01-2009,H,Manchester United,Derby County,WON,,89,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,24-01-2009,H,FC Barcelona,CD Numancia,WON,RW,49,1,Left-footed shot,Dani Alves
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,24-01-2009,H,FC Barcelona,CD Numancia,WON,RW,76,1,Right-footed shot,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,27-01-2009,A,Manchester United,West Bromwich Albion,LOST,LW,65,1,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,27-01-2009,A,Manchester United,West Bromwich Albion,LOST,LW,73,1,Right-footed shot,Dimitar Berbatov
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,31-01-2009,H,Manchester United,Everton FC,WON,LW,43,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,01-02-2009,A,FC Barcelona,Racing Santander,LOST,RW,65,1,Right-footed shot,Xavi
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,01-02-2009,A,FC Barcelona,Racing Santander,LOST,RW,81,1,Right-footed shot,
Cristiano Ronaldo,08-Sep,England,FA Cup,Group Stage,15-02-2009,A,Manchester United,Derby County,LOST,CF,68,1,Header,Ryan Giggs
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,21-02-2009,H,Manchester United,Blackburn Rovers,WON,,60,1,Direct free kick,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,01-03-2009,A,FC Barcelona,Atletico de Madrid,WON,RW,30,1,Left-footed shot,
Lionel Messi,08-Sep,Spain,Copa del Rey,Semi-Finals,04-03-2009,A,FC Barcelona,RCD Mallorca,LOST,RW,81,1,Left-footed shot,Gerard Pique
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,07-03-2009,H,FC Barcelona,Athletic Bilbao,WON,RW,31,1,Penalty,
Cristiano Ronaldo,08-Sep,Spain,UEFA Champions League,Group Stage,11-03-2009,H,Manchester United,FC Internazionale,WON,RW,49,1,Header,Wayne Rooney
Lionel Messi,08-Sep,Spain,UEFA Champions League,Group Stage,11-03-2009,H,FC Barcelona,Olympique Lyon,WON,RW,40,1,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,14-03-2009,H,Manchester United,Liverpool FC,LOST,RW,22,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,22-03-2009,H,FC Barcelona,Malaga CF,WON,RW,26,1,Right-footed shot,Xavi
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,05-04-2009,H,Manchester United,Aston Villa,WON,RW,11,1,Direct free kick,
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,05-04-2009,H,Manchester United,Aston Villa,WON,RW,80,1,Left-footed shot,Michael Carrick
Lionel Messi,08-Sep,Spain,UEFA Champions League,Quarter-Finals,08-04-2009,H,FC Barcelona,Bayern Munich,WON,RW,9,1,Left-footed shot,Samuel Etoo
Lionel Messi,08-Sep,Spain,UEFA Champions League,Quarter-Finals,08-04-2009,H,FC Barcelona,Bayern Munich,WON,RW,38,1,Right-footed shot,Thierry Henry
Cristiano Ronaldo,08-Sep,Spain,UEFA Champions League,Quarter-Finals,15-04-2009,A,Manchester United,FC Porto,LOST,RW,6,1,Long distance kick,Anderson
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,18-04-2009,A,FC Barcelona,Getafe CF,LOST,RW,18,1,Left-footed shot,Xavi
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,25-04-2009,H,Manchester United,Tottenham Hotspur,WON,RW,68,1,Header,Wayne Rooney
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,25-04-2009,H,Manchester United,Tottenham Hotspur,WON,RW,57,1,Penalty,
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,25-04-2009,A,FC Barcelona,Valencia CF,LOST,RW,23,1,Left-footed shot,Andres Iniesta
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,02-05-2009,A,FC Barcelona,Real Madrid,LOST,CF,35,1,Left-footed shot,Xavi
Lionel Messi,08-Sep,Spain,LaLiga,Group Stage,02-05-2009,A,FC Barcelona,Real Madrid,LOST,CF,75,1,Left-footed shot,Xavi
Cristiano Ronaldo,08-Sep,Spain,UEFA Champions League,Semi-Finals,05-05-2009,A,Manchester United,Arsenal FC,LOST,CF,11,1,Direct free kick,
Cristiano Ronaldo,08-Sep,Spain,UEFA Champions League,Semi-Finals,05-05-2009,A,Manchester United,Arsenal FC,LOST,CF,61,1,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,08-Sep,England,Premier League,Group Stage,10-05-2009,H,Manchester United,Manchester City,WON,RW,17,1,Direct free kick,
Lionel Messi,08-Sep,Spain,Copa del Rey,Final,13-05-2009,H,FC Barcelona,Athletic Bilbao,WON,RW,55,1,Left-footed shot,Samuel Etoo
Lionel Messi,08-Sep,Spain,UEFA Champions League,Final,27-05-2009,H,FC Barcelona,Manchester United,WON,CF,70,1,Header,Xavi
Lionel Messi,09-Oct,Spain,Supercopa,Final,23-08-2009,H,FC Barcelona,Athletic Bilbao,WON,RW,68,1,Penalty,
Lionel Messi,09-Oct,Spain,Supercopa,Final,23-08-2009,H,FC Barcelona,Athletic Bilbao,WON,RW,50,1,Right-footed shot,Zlatan Ibrahimovic
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,29-08-2009,H,Real Madrid,Deportivo de La CoruÃ±a,WON,RW,35,1,Penalty,
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,12-09-2009,A,FC Barcelona,Getafe CF,LOST,RW,78,1,Header,Zlatan Ibrahimovic
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,12-09-2009,A,Real Madrid,RCD Espanyol Barcelona,LOST,,90,1,Right-footed shot,Guti
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,15-09-2009,A,Real Madrid,FC ZÃ¼rich,LOST,CF,89,1,Direct free kick,
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,15-09-2009,A,Real Madrid,FC ZÃ¼rich,LOST,CF,27,1,Direct free kick,
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,19-09-2009,H,FC Barcelona,Atletico de Madrid,WON,RW,15,1,Left-footed shot,Xavi
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,19-09-2009,H,FC Barcelona,Atletico de Madrid,WON,RW,93,1,Right-footed shot,Dani Alves
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,20-09-2009,H,Real Madrid,Xerez CD,WON,RW,75,1,Header,Esteban Granero
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,20-09-2009,H,Real Madrid,Xerez CD,WON,RW,1,1,Right-footed shot,
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,22-09-2009,A,FC Barcelona,Racing Santander,LOST,RW,63,1,Left-footed shot,Xavi
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,22-09-2009,A,FC Barcelona,Racing Santander,LOST,RW,23,1,Left-footed shot,Xavi
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,23-09-2009,A,Real Madrid,Villarreal CF,LOST,CF,2,1,Right-footed shot,
Lionel Messi,09-Oct,Spain,UEFA Champions League,Group Stage,29-09-2009,H,FC Barcelona,Dynamo Kyiv,WON,RW,25,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,30-09-2009,H,Real Madrid,Olympique Marseille,WON,CF,58,1,Left-footed shot,Pepe
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,30-09-2009,H,Real Madrid,Olympique Marseille,WON,CF,64,1,Right-footed shot,Karim Benzema
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,25-10-2009,H,FC Barcelona,Real Zaragoza,WON,RW,80,1,Left-footed shot,Andres Iniesta
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,07-11-2009,H,FC Barcelona,RCD Mallorca,WON,RW,86,1,Penalty,
Lionel Messi,09-Oct,Spain,Copa del Rey,Group Stage,10-11-2009,H,FC Barcelona,Cultural Leonesa,WON,RW,64,1,Left-footed shot,Pedro
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,05-12-2009,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,80,1,Header,Pedro
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,05-12-2009,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,26,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,05-12-2009,H,Real Madrid,UD Almeria,WON,CF,84,1,Right-footed shot,Gonzalo Higuain
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,08-12-2009,A,Real Madrid,Olympique Marseille,LOST,CF,5,1,Direct free kick,
Cristiano Ronaldo,09-Oct,Spain,UEFA Champions League,Group Stage,08-12-2009,A,Real Madrid,Olympique Marseille,LOST,CF,80,1,Right-footed shot,Lassana Diarra
Lionel Messi,09-Oct,Spain,UEFA Champions League,Group Stage,09-12-2009,A,FC Barcelona,Dynamo Kyiv,LOST,RW,86,1,Direct free kick,
Lionel Messi,09-Oct,Italy,FIFA Club World Cup,Semi-Finals,16-12-2009,A,FC Barcelona,CF Atlante,LOST,RW,55,1,Left-footed shot,Zlatan Ibrahimovic
Lionel Messi,09-Oct,Italy,FIFA Club World Cup,Final,19-12-2009,A,FC Barcelona,Club Estudiantes de La Plata,LOST,RW,110,1,Chest,Dani Alves
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,19-12-2009,H,Real Madrid,Real Zaragoza,WON,CF,50,1,Left-footed shot,Ezequiel Garay
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,10-01-2010,A,FC Barcelona,CD Tenerife,LOST,RW,75,1,Left-footed shot,Bojan Krkic
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,10-01-2010,A,FC Barcelona,CD Tenerife,LOST,RW,45,1,Right-footed shot,Bojan Krkic
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,10-01-2010,A,FC Barcelona,CD Tenerife,LOST,RW,36,1,Left-footed shot,Bojan Krkic
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,16-01-2010,H,FC Barcelona,Sevilla FC,WON,RW,91,1,Left-footed shot,Ã‰ric Abidal
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,16-01-2010,H,FC Barcelona,Sevilla FC,WON,RW,85,1,Left-footed shot,Dani Alves
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,23-01-2010,A,FC Barcelona,Real Valladolid CF,LOST,RW,54,1,Left-footed shot,Zlatan Ibrahimovic
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,24-01-2010,H,Real Madrid,Malaga CF,WON,RW,35,1,Right-footed shot,Kaka
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,24-01-2010,H,Real Madrid,Malaga CF,WON,RW,39,1,Right-footed shot,Guti
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,06-02-2010,H,FC Barcelona,Getafe CF,WON,RW,7,1,Left-footed shot,Yaya Toure
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,13-02-2010,A,Real Madrid,Xerez CD,LOST,,71,1,Left-footed shot,Kaka
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,13-02-2010,A,Real Madrid,Xerez CD,LOST,,69,1,Header,Kaka
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,21-02-2010,H,Real Madrid,Villarreal CF,WON,,18,1,Direct free kick,
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,27-02-2010,A,Real Madrid,CD Tenerife,LOST,,78,1,Penalty,
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,27-02-2010,H,FC Barcelona,Malaga CF,WON,RW,84,1,Right-footed shot,Dani Alves
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,06-03-2010,A,FC Barcelona,UD Almera,LOST,RW,66,1,Left-footed shot,
Lionel Messi,09-Oct,Spain,LaLiga,Group Stage,06-03-2010,A,FC Barcelona,UD Almera,LOST,RW,42,1,Direct free kick,
Cristiano Ronaldo,09-Oct,Spain,LaLiga,Group Stage,06-03-2010,H,Real Madrid,Sevilla FC,WON,CF,59,1,Left-footed shot,
